disease_state,donor,sample_id,fraction,compartment_call,cells,median_genes,median_umis,median_percent_mt,median_percent_ribo,median_percent_hb,median_log10_genes_per_umi
healthy,healthy1,healthy1_cd45+,CD45_positive,mesenchymal_HSC_myofibroblast,3,1980,4707,4.227745910346293,16.974718504355216,0,0.8951732375674581
healthy,healthy1,healthy1_cd45+,CD45_positive,other_or_unresolved,815,1002,2517,2.5797278082470037,30.88535291717666,0,0.8839043812262107
healthy,healthy1,healthy1_cd45-A,CD45_negative,endothelial,411,1486,3153,3.8818359375,15.615141955835963,0,0.9065328257495332
healthy,healthy1,healthy1_cd45-A,CD45_negative,macrophage_monocyte,315,1188,2952,6.096423017107309,14.370638407857328,0,0.884006973673517
healthy,healthy1,healthy1_cd45-A,CD45_negative,mesenchymal_HSC_myofibroblast,12,1900,5056.5,4.787298138709065,18.04287613972625,0,0.8817642916006394
healthy,healthy1,healthy1_cd45-A,CD45_negative,other_or_unresolved,92,1303.5,4277.5,2.6827576093080934,16.27408958608038,0,0.8480686601910812
healthy,healthy1,healthy1_cd45-B,CD45_negative,endothelial,1,1821,3978,2.3881347410759175,14.6807440925088,0,0.9057647584976269
healthy,healthy1,healthy1_cd45-B,CD45_negative,macrophage_monocyte,86,1357.5,2944,5.204144449804305,17.14257886532132,0,0.8952734470001531
healthy,healthy1,healthy1_cd45-B,CD45_negative,mesenchymal_HSC_myofibroblast,287,1676,4209,6.097823744882568,18.43600818367811,0,0.8909903391324248
healthy,healthy1,healthy1_cd45-B,CD45_negative,other_or_unresolved,5,680,1327,3.0927835051546393,16.427889207258833,0,0.8917418451832596
healthy,healthy2,healthy2_cd45+,CD45_positive,endothelial,209,608,1172,2.3231256599788805,27.943615257048094,0,0.9074952930384875
healthy,healthy2,healthy2_cd45+,CD45_positive,macrophage_monocyte,2173,647,1292,2.4630541871921183,27.161997563946404,0,0.9023145865098665
healthy,healthy2,healthy2_cd45+,CD45_positive,mesenchymal_HSC_myofibroblast,43,511,951,2.33739837398374,27.035175879396984,0,0.912391565165944
healthy,healthy2,healthy2_cd45+,CD45_positive,other_or_unresolved,4145,570,1106,2.2263450834879404,29.6760710553814,0,0.9045312978572574
healthy,healthy2,healthy2_cd45-,CD45_negative,endothelial,190,689.5,1291,2.4647096967278532,23.816718464850297,0,0.9159862930515523
healthy,healthy2,healthy2_cd45-,CD45_negative,macrophage_monocyte,1365,875,1754,2.923976608187134,25.775004874244495,0,0.9061915330325719
healthy,healthy2,healthy2_cd45-,CD45_negative,mesenchymal_HSC_myofibroblast,1114,719,1401.5,3.2275701220166866,21.37167442001885,0,0.9075180477936952
healthy,healthy2,healthy2_cd45-,CD45_negative,other_or_unresolved,2008,621,1238.5,2.348988041163418,28.480640952373584,0,0.9045970932866548
healthy,healthy3,healthy3_cd45+,CD45_positive,endothelial,39,1809,4507,3.7861310897000946,23.21382512251741,0,0.8830867400444764
healthy,healthy3,healthy3_cd45+,CD45_positive,macrophage_monocyte,1561,1459,4230,3.8328330639575157,26.89393939393939,0,0.8669558130989836
healthy,healthy3,healthy3_cd45+,CD45_positive,mesenchymal_HSC_myofibroblast,6,1425.5,4411.5,6.252679413529966,24.56374235474006,0,0.8701632685945617
healthy,healthy3,healthy3_cd45+,CD45_positive,other_or_unresolved,1674,1285,3794.5,3.6958876210203155,30.80759717558623,0,0.8698879330007132
healthy,healthy3,healthy3_cd45-A,CD45_negative,endothelial,1724,1916,4717,3.871702549783232,17.955472033714656,0,0.8917602523535755
healthy,healthy3,healthy3_cd45-A,CD45_negative,macrophage_monocyte,969,1680,4734,4.339414040906578,18.797399783315278,0,0.873057833797868
healthy,healthy3,healthy3_cd45-A,CD45_negative,mesenchymal_HSC_myofibroblast,170,1831,5149.5,5.33859088718906,22.23565337690769,0,0.8794604725648532
healthy,healthy3,healthy3_cd45-A,CD45_negative,other_or_unresolved,190,1277.5,3373,3.6070775435167985,27.154759039311884,0,0.8798196958780886
healthy,healthy3,healthy3_cd45-B,CD45_negative,endothelial,100,2200.5,5765,3.337463830243275,21.580534598044846,0,0.8824953420880866
healthy,healthy3,healthy3_cd45-B,CD45_negative,macrophage_monocyte,232,2190.5,8944.5,3.0889957373652224,17.91945425249645,0,0.8498548086748219
