compartment,pathway_direction,pathway,overlap,pathway_size,p_value,p_adj
macrophage_monocyte,lower_in_cirrhosis,HALLMARK_APOPTOSIS,15,117,4.93611590641754e-4,0.0035257970760125285
macrophage_monocyte,lower_in_cirrhosis,HALLMARK_IL2_STAT5_SIGNALING,16,127,3.942566482798106e-4,0.0035257970760125285
macrophage_monocyte,lower_in_cirrhosis,HALLMARK_INTERFERON_GAMMA_RESPONSE,17,142,4.798490636978109e-4,0.0035257970760125285
macrophage_monocyte,lower_in_cirrhosis,HALLMARK_IL6_JAK_STAT3_SIGNALING,9,55,0.0011777420374495832,0.007360887734059895
macrophage_monocyte,lower_in_cirrhosis,HALLMARK_ESTROGEN_RESPONSE_EARLY,12,93,0.0016793437622659466,0.009329687568144148
macrophage_monocyte,lower_in_cirrhosis,HALLMARK_KRAS_SIGNALING_UP,13,111,0.0026537942671821368,0.013268971335910684
macrophage_monocyte,lower_in_cirrhosis,HALLMARK_APICAL_SURFACE,5,22,0.003470978698708106,0.015777175903218664
macrophage_monocyte,lower_in_cirrhosis,HALLMARK_ESTROGEN_RESPONSE_LATE,11,100,0.008814672079098656,0.03672780032957773
macrophage_monocyte,lower_in_cirrhosis,HALLMARK_APICAL_JUNCTION,11,102,0.010176955865339832,0.03914213794361474
macrophage_monocyte,lower_in_cirrhosis,HALLMARK_HEME_METABOLISM,10,104,0.02888055147212659,0.1031448266861664
macrophage_monocyte,lower_in_cirrhosis,HALLMARK_HYPOXIA,11,127,0.04383667677734957,0.14612225592449857
mesenchymal_HSC_myofibroblast,higher_in_cirrhosis,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,84,142,1.5650941892411024e-27,7.825470946205512e-26
mesenchymal_HSC_myofibroblast,higher_in_cirrhosis,HALLMARK_COAGULATION,36,79,2.7195107598690624e-8,6.798776899672656e-7
mesenchymal_HSC_myofibroblast,higher_in_cirrhosis,HALLMARK_GLYCOLYSIS,37,109,7.927061817669562e-5,0.0013211769696115938
mesenchymal_HSC_myofibroblast,higher_in_cirrhosis,HALLMARK_HYPOXIA,39,127,5.487912491758717e-4,0.006859890614698397
mesenchymal_HSC_myofibroblast,higher_in_cirrhosis,HALLMARK_APICAL_JUNCTION,32,102,0.0011235577825593353,0.011235577825593354
mesenchymal_HSC_myofibroblast,higher_in_cirrhosis,HALLMARK_IL2_STAT5_SIGNALING,35,127,0.007444163683061143,0.062034697358842865
mesenchymal_HSC_myofibroblast,higher_in_cirrhosis,HALLMARK_INTERFERON_ALPHA_RESPONSE,21,69,0.010959043710592874,0.07827888364709197
mesenchymal_HSC_myofibroblast,higher_in_cirrhosis,HALLMARK_COMPLEMENT,35,134,0.01741566846856039,0.10390323853516219
mesenchymal_HSC_myofibroblast,higher_in_cirrhosis,HALLMARK_XENOBIOTIC_METABOLISM,28,103,0.018702582936329194,0.10390323853516219
mesenchymal_HSC_myofibroblast,higher_in_cirrhosis,HALLMARK_MYC_TARGETS_V2,10,31,0.047097137153085486,0.23548568576542744
mesenchymal_HSC_myofibroblast,higher_in_cirrhosis,HALLMARK_ANGIOGENESIS,9,29,0.07254351749798246,0.28534494218765216
mesenchymal_HSC_myofibroblast,higher_in_cirrhosis,HALLMARK_KRAS_SIGNALING_UP,27,111,0.07418968496878955,0.28534494218765216
mesenchymal_HSC_myofibroblast,higher_in_cirrhosis,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,11,37,0.0661420626193336,0.28534494218765216
mesenchymal_HSC_myofibroblast,higher_in_cirrhosis,HALLMARK_APICAL_SURFACE,7,22,0.09576242334628433,0.29925757295713856
mesenchymal_HSC_myofibroblast,higher_in_cirrhosis,HALLMARK_FATTY_ACID_METABOLISM,24,99,0.09120635916667082,0.29925757295713856
mesenchymal_HSC_myofibroblast,lower_in_cirrhosis,HALLMARK_TNFA_SIGNALING_VIA_NFKB,18,154,4.1006732153121824e-7,2.050336607656091e-5
mesenchymal_HSC_myofibroblast,lower_in_cirrhosis,HALLMARK_MYOGENESIS,10,103,7.643180485264596e-4,0.01910795121316149
mesenchymal_HSC_myofibroblast,lower_in_cirrhosis,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,9,142,0.022072098809417077,0.24591196418697753
mesenchymal_HSC_myofibroblast,lower_in_cirrhosis,HALLMARK_MYC_TARGETS_V1,10,168,0.024051916310383704,0.24591196418697753
mesenchymal_HSC_myofibroblast,lower_in_cirrhosis,HALLMARK_UV_RESPONSE_UP,7,99,0.024591196418697753,0.24591196418697753
mesenchymal_HSC_myofibroblast,lower_in_cirrhosis,HALLMARK_KRAS_SIGNALING_DN,3,27,0.04226077562905971,0.35217313024216423
mesenchymal_HSC_myofibroblast,lower_in_cirrhosis,HALLMARK_ANGIOGENESIS,3,29,0.05063048048118375,0.36164628915131253
mesenchymal_HSC_myofibroblast,lower_in_cirrhosis,HALLMARK_APICAL_JUNCTION,6,102,0.07559812174601559,0.4382917673910492
mesenchymal_HSC_myofibroblast,lower_in_cirrhosis,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,5,79,0.07889251813038886,0.4382917673910492
mesenchymal_HSC_myofibroblast,lower_in_cirrhosis,HALLMARK_COMPLEMENT,7,134,0.09441725577818234,0.4720862788909117
mesenchymal_HSC_myofibroblast,lower_in_cirrhosis,HALLMARK_APOPTOSIS,6,117,0.12425246766592025,0.5177186152746678
mesenchymal_HSC_myofibroblast,lower_in_cirrhosis,HALLMARK_INTERFERON_GAMMA_RESPONSE,7,142,0.1185372103742839,0.5177186152746678
mesenchymal_HSC_myofibroblast,lower_in_cirrhosis,HALLMARK_TGF_BETA_SIGNALING,3,46,0.14822426282934853,0.5700933185744175
mesenchymal_HSC_myofibroblast,lower_in_cirrhosis,HALLMARK_ESTROGEN_RESPONSE_LATE,5,100,0.16470750531975206,0.572945168503371
mesenchymal_HSC_myofibroblast,lower_in_cirrhosis,HALLMARK_P53_PATHWAY,6,129,0.1718835505510113,0.572945168503371
