condition,focused_compartment,cells,mean_hsc_score,mean_endothelial_score,mean_macrophage_score
NAFL,HSC_myofibroblast_like,3037,1.1476941583795897,0.006906216603754162,0.012740474296165536
NAFL,endothelial_like,2228,0.0712865855094031,2.4687962774490395,0.19691759538757142
NAFL,macrophage_like,1530,0.07936893455536362,0.051971810682836954,1.2980901214253644
NASH,HSC_myofibroblast_like,18562,1.4648890681529092,0.02140611071460064,0.05701177824749083
NASH,endothelial_like,8570,0.15618805179446077,2.678631664470107,0.27284801166274114
NASH,macrophage_like,7801,0.1590862181686029,0.03595971894205682,1.256222124905711
NORMAL,HSC_myofibroblast_like,4584,1.1249647862832435,0.0049106044055470845,0.017217365052376053
NORMAL,endothelial_like,2877,0.07464067670276792,2.3945920596761243,0.16760547916112922
NORMAL,macrophage_like,2358,0.09516363997598122,0.024134874563980776,1.22314874260302
