disease_state,donor,sample_id,fraction,compartment_call,cells,median_genes,median_percent_mt
healthy,healthy2,healthy2_cd45-,CD45_negative,other_or_unresolved,2008,621,2.348988041163418
healthy,healthy3,healthy3_cd45+,CD45_positive,endothelial,39,1809,3.7861310897000946
healthy,healthy3,healthy3_cd45+,CD45_positive,macrophage_monocyte,1561,1459,3.8328330639575157
healthy,healthy3,healthy3_cd45+,CD45_positive,mesenchymal_HSC_myofibroblast,6,1425.5,6.252679413529966
healthy,healthy3,healthy3_cd45+,CD45_positive,other_or_unresolved,1674,1285,3.6958876210203155
healthy,healthy3,healthy3_cd45-A,CD45_negative,endothelial,1724,1916,3.871702549783232
healthy,healthy3,healthy3_cd45-A,CD45_negative,macrophage_monocyte,969,1680,4.339414040906578
healthy,healthy3,healthy3_cd45-A,CD45_negative,mesenchymal_HSC_myofibroblast,170,1831,5.33859088718906
healthy,healthy3,healthy3_cd45-A,CD45_negative,other_or_unresolved,190,1277.5,3.6070775435167985
healthy,healthy3,healthy3_cd45-B,CD45_negative,endothelial,100,2200.5,3.337463830243275
healthy,healthy3,healthy3_cd45-B,CD45_negative,macrophage_monocyte,232,2190.5,3.0889957373652224
healthy,healthy3,healthy3_cd45-B,CD45_negative,mesenchymal_HSC_myofibroblast,571,1863,5.09765625
healthy,healthy3,healthy3_cd45-B,CD45_negative,other_or_unresolved,178,1468,2.9288742076670644
healthy,healthy4,healthy4_cd45+,CD45_positive,endothelial,107,1716,3.561853695901953
healthy,healthy4,healthy4_cd45+,CD45_positive,macrophage_monocyte,1820,1322,3.4968829061562605
healthy,healthy4,healthy4_cd45+,CD45_positive,mesenchymal_HSC_myofibroblast,21,1741,6.948680546346639
healthy,healthy4,healthy4_cd45+,CD45_positive,other_or_unresolved,2972,1193,3.5392904163169305
healthy,healthy4,healthy4_cd45-,CD45_negative,endothelial,394,2453,2.900359816581525
healthy,healthy4,healthy4_cd45-,CD45_negative,macrophage_monocyte,2761,1875,3.7978863936591813
healthy,healthy4,healthy4_cd45-,CD45_negative,mesenchymal_HSC_myofibroblast,3,2382,6.861958266452649
healthy,healthy4,healthy4_cd45-,CD45_negative,other_or_unresolved,137,1405,3.3187370361834523
healthy,healthy5,healthy5_cd45+,CD45_positive,endothelial,105,770,2.3661270236612704
healthy,healthy5,healthy5_cd45+,CD45_positive,macrophage_monocyte,2619,995,2.606741573033708
healthy,healthy5,healthy5_cd45+,CD45_positive,mesenchymal_HSC_myofibroblast,7,1318,2.2334067316766277
healthy,healthy5,healthy5_cd45+,CD45_positive,other_or_unresolved,2369,836,2.1149425287356323
