gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,compartment,contrast
TIMP1,2.92665040305825e-166,3.755219094571758,0.88,0.508,6.7438805237671255e-162,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
NNMT,1.8193139651360828e-156,3.261210426626815,0.501,0.079,4.192245169863076e-152,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
C1R,2.3046985388869407e-153,2.6630978308857562,0.607,0.147,5.3107168431571775e-149,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
CFH,5.099057626661027e-153,2.767510030576089,0.513,0.083,1.1749758489115006e-148,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
COL3A1,4.7155533881625445e-141,3.623959347518563,0.582,0.15,1.0866049672342952e-136,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
CST3,3.404716673073796e-140,1.6967760831893388,0.923,0.671,7.845488629763948e-136,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
THY1,7.260918698197256e-140,3.587915639877435,0.391,0.039,1.6731334956255937e-135,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PCOLCE,1.883011640585845e-139,3.17528999900661,0.471,0.076,4.339023723401962e-135,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
COL1A1,8.295069149362433e-138,4.164117366161983,0.605,0.175,1.9114327840875855e-133,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
SERPINF1,1.736794344007846e-135,4.295658475286292,0.425,0.061,4.00209520689728e-131,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
IFITM3,2.987096254153719e-133,1.3560500356532268,0.941,0.716,6.883165898446414e-129,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
EFEMP1,1.482574719881261e-129,3.569681668027487,0.354,0.032,3.41629692702239e-125,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
COL1A2,2.286661049721373e-127,3.4698040743276826,0.599,0.179,5.26915305687296e-123,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
MGP,6.767569771585052e-126,2.2685691114166056,0.88,0.52,1.5594511024663435e-121,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
MMP23B,2.2699057107418293e-122,3.2866262259569887,0.333,0.029,5.230543729262397e-118,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PDGFRA,8.859220003006072e-120,4.108937895783906,0.282,0.014,2.041430065292689e-115,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
LXN,7.651547853915096e-117,4.958153615637123,0.313,0.028,1.7631461719776555e-112,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
DCN,2.2557138948425495e-115,2.254433248356751,0.72,0.334,5.197841527885687e-111,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
C1S,3.2472023058134826e-113,2.5057963778930725,0.504,0.127,7.482528273286008e-109,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
TPT1,7.866984483076518e-112,1.0414591770980506,0.995,0.932,1.812789234435322e-107,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
XIST,2.6128422287199722e-110,5.160129593704204,0.235,0.006,6.020772347639432e-106,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PTGIS,8.692217646302018e-109,4.8660363793700565,0.259,0.014,2.002947712237374e-104,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
RARRES1,1.524372246558744e-106,4.623908573953091,0.259,0.015,3.5126109677453138e-102,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
LUM,3.8547274436827015e-104,2.771477757869201,0.336,0.043,8.882448448478049e-100,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
MMP2,3.0386868368551536e-103,3.5320331431554575,0.264,0.018,7.0020460781653305e-99,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
ANXA1,3.9995752881504494e-98,1.3282082404157496,0.637,0.219,9.21622133648508e-94,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
S100A11,5.133317808151332e-97,1.0886552556775668,0.902,0.557,1.1828704225323114e-92,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
FBLN1,6.9236444521473385e-96,3.3093751376147096,0.273,0.026,1.5954153911083113e-91,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
CLEC11A,2.521052968080276e-95,2.1641011017302496,0.476,0.127,5.80926235434738e-91,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
OLFML3,3.725437237853555e-95,2.245176053911071,0.393,0.078,8.584525027185947e-91,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
GGT5,1.450933606925141e-94,2.721722925027585,0.312,0.041,3.3433863104376025e-90,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
TMEM176A,3.441024109893842e-94,2.718222478133221,0.341,0.055,7.92915185642838e-90,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
TSPAN4,3.612192698022049e-94,2.014607155701963,0.462,0.118,8.323575634052208e-90,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
SERPING1,1.0043008328693112e-93,1.4247957034871834,0.806,0.456,2.314210409180754e-89,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
IFI27,9.584672441713705e-93,1.907715303318723,0.466,0.124,2.208596070744089e-88,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
IGFBP7,2.4027118600556178e-92,1.3046881983393002,0.951,0.784,5.53656893912616e-88,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PPIB,5.3535196261589796e-92,1.2773440138084724,0.793,0.438,1.2336115274558136e-87,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
RARRES2,1.3098437401198989e-90,1.8216156377202544,0.727,0.38,3.018272930358283e-86,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
MEG3,2.734883811662091e-90,2.5879763665389195,0.303,0.04,6.301992767212956e-86,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
FN1,2.813839806877636e-90,2.589484391085122,0.402,0.089,6.483931066988137e-86,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
TMEM176B,5.155077225448979e-90,2.309820126513693,0.382,0.079,1.1878844450602083e-85,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
S100A13,7.207705369228493e-90,1.9564132602939395,0.496,0.146,1.6608715482313216e-85,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
MARCKS,9.802533418978222e-90,1.8665005877591052,0.423,0.097,2.2587977757351516e-85,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PRSS23,1.725873419728816e-88,2.380015374680114,0.393,0.086,3.976930121081111e-84,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PLTP,2.2606849044644733e-88,2.4086341665790867,0.401,0.093,5.209296225357485e-84,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
LRP1,1.3812323468712428e-85,1.9801183354880616,0.372,0.075,3.182773696895405e-81,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
THBS2,8.796986884876425e-85,3.8291673753456825,0.225,0.017,2.0270896878820746e-80,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
NR2F1,1.4775911689114962e-81,2.427392895710846,0.346,0.068,3.4048133305227605e-77,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
CCDC80,8.960174308913298e-81,3.2125627158134424,0.47,0.157,2.0646929660028913e-76,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
C4orf48,9.369038834778934e-81,1.4819356193404234,0.374,0.08,2.1589076186981097e-76,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
BGN,7.225800407922385e-79,1.8986627123915203,0.866,0.583,1.6650411879975552e-74,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
COL5A1,1.0927528137997914e-78,3.306951341288599,0.25,0.03,2.5180303088388595e-74,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
IGFBP2,1.0992474640152026e-78,3.285186434005646,0.271,0.038,2.5329959313302312e-74,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
CD63,4.7284607810053256e-76,0.9007342026792751,0.941,0.751,1.0895792177670572e-71,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
DAB2,1.1983605375718748e-75,2.455503103530237,0.259,0.035,2.761382186726871e-71,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
C3,3.237772416701213e-75,4.470705828059458,0.296,0.056,7.460798979804605e-71,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
OSR1,7.412131087218255e-75,9.36579941215431,0.144,0,1.7079773664277026e-70,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
CD81,1.085287808413896e-74,1.305401184655883,0.614,0.245,2.5008286969281406e-70,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
COL14A1,1.988329998513458e-74,2.039488515181353,0.361,0.085,4.5817088155745605e-70,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
STEAP1,1.5951046237182047e-73,5.462834633361548,0.17,0.007,3.675599584433859e-69,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
ASPN,3.30272435691523e-73,2.0589387191205497,0.314,0.06,7.610467735639764e-69,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
COL8A1,6.211544613625972e-73,4.536779045775337,0.16,0.004,1.4313262253178327e-68,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
ADAMTS2,2.0381788861821183e-72,3.816826750101347,0.179,0.01,4.696575607429455e-68,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
FSTL1,3.641872462221586e-72,2.0484491447633,0.349,0.08,8.3919667146972e-68,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
RAMP1,3.728587829204848e-72,1.8701083429426397,0.35,0.079,8.59178493483673e-68,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
CFI,6.305455013658449e-72,2.691476827011586,0.239,0.03,1.4529659987973166e-67,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
IGFBP4,3.810483313230244e-71,1.5489456577133154,0.679,0.349,8.78049669867645e-67,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
EVA1B,6.7992917594014084e-71,1.9121555180301417,0.3,0.056,1.5667608001188667e-66,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
C7,8.45575227816231e-71,1.981240700480631,0.42,0.133,1.948458997456941e-66,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
IL1R1,1.5458142815542472e-70,2.549866634597032,0.255,0.038,3.562019848985452e-66,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
LY6E,1.9459341341182827e-70,1.3383015488191181,0.59,0.255,4.484016025248759e-66,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
CXCL12,2.23600104145812e-69,1.7295578671294995,0.397,0.114,5.152417199831946e-65,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
ACTB,4.6020013081139375e-69,-0.6566101537846096,0.989,0.988,1.0604391614286945e-64,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
SRPX,8.088046784031482e-69,2.23230977005149,0.313,0.068,1.8637286204443743e-64,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
S100A10,2.894540123891286e-68,1.8618523734046966,0.581,0.258,6.66988880748269e-64,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
GPC3,5.088419919504237e-68,3.3135987409634255,0.174,0.011,1.1725246020513612e-63,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
AEBP1,9.699450734501795e-68,1.515290051963846,0.501,0.179,2.2350444327512487e-63,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
TNXB,5.375603565793421e-67,2.6186120364334737,0.194,0.018,1.238700329665778e-62,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
IGFBP6,6.889894074257854e-66,2.0540477504993215,0.506,0.199,1.5876382915312372e-61,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
INMT,1.450241204547274e-65,2.2444024760910204,0.259,0.044,3.341790807638283e-61,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
SPON2,6.7082567172905874e-65,1.5248102951491562,0.298,0.06,1.54578359536527e-60,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
IFITM2,7.10296082115211e-65,0.8045761379190117,0.925,0.652,1.6367352620180808e-60,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
DONSON,1.1967280410044894e-64,2.261807902180707,0.207,0.024,2.757620424886645e-60,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
MFAP2,2.2222140610718897e-64,3.6773393091826314,0.167,0.011,5.120647860927956e-60,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
TIMP2,2.3200311986150156e-64,1.5152971153341948,0.419,0.128,5.34604789096858e-60,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
SPRY1,5.494974697152528e-64,1.2254427058164024,0.57,0.231,1.266207019464857e-59,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
EFEMP2,8.464637851628988e-64,1.4236941114121553,0.467,0.161,1.9505065001508677e-59,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
VCAN,1.1539519124487436e-63,1.9965493084163155,0.197,0.021,2.65905139185564e-59,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
LOX,4.2510245215441664e-63,6.720754888599447,0.128,0.001,9.795635804994222e-59,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
RPL28,1.2405853015302515e-62,0.6164430480580734,0.992,0.939,2.8586807103161584e-58,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PDPN,1.6579164303429844e-62,8.620825972875089,0.123,0,3.820336830439339e-58,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
LTBP4,5.06412865373914e-62,1.3537058020737431,0.429,0.137,1.16692716568111e-57,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
IFITM1,7.988895472732168e-62,1.0806511552710734,0.604,0.257,1.8408811837816736e-57,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
ABCA8,1.5155530992938314e-61,2.352877055762165,0.192,0.021,3.492289006702776e-57,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
RPS20,2.2510849128512473e-60,0.5132124495079662,0.99,0.913,5.187174964683129e-56,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
RPL12,3.8712397596626223e-60,0.6538834101875768,0.996,0.962,8.92049777819058e-56,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
C8orf59,4.441309099825586e-60,0.9696783579410667,0.646,0.298,1.02341085587281e-55,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PROCR,5.776487323930285e-60,1.7811227916395422,0.364,0.107,1.3310759740532555e-55,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
LTBP2,6.19900022063132e-60,3.826145885186569,0.161,0.012,1.428435620840075e-55,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
MRC2,1.4632872013907853e-59,2.9894649660383177,0.178,0.017,3.3718526981647864e-55,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PAPPA,1.8543259264294436e-59,4.2754991863975755,0.14,0.006,4.272923232271367e-55,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
WT1,6.873370618619329e-59,9.17994587558114,0.114,0,1.583830791648452e-54,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
DPT,7.38411349332849e-59,2.1942394699389345,0.226,0.037,1.701521272267684e-54,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
GNG11,1.4381594095371148e-58,1.046853661436256,0.669,0.338,3.3139507273963735e-54,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
LAMB1,1.623263894760381e-58,2.3527263359287334,0.213,0.031,3.740486992696346e-54,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
RPLP0,9.282519408511478e-58,0.7738398773585495,0.971,0.828,2.1389709473033e-53,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
ITGBL1,1.4442684572372097e-57,2.9998949799738748,0.161,0.013,3.3280278060117023e-53,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
NPC2,1.4780140646778747e-57,1.2846160970157183,0.626,0.331,3.4057878092372267e-53,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
ADH1B,5.985420102030343e-57,1.6762716235183035,0.326,0.089,1.379220354110852e-52,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PRG4,1.5406364432001597e-55,8.92064492228227,0.111,0.001,3.550088556066128e-51,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PTGDS,2.7843458069879318e-55,1.8806432309248537,0.249,0.052,6.415968043042292e-51,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
EGFL6,3.449120278116834e-55,5.994356187088314,0.116,0.002,7.94780785686462e-51,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
ISLR,6.409467822528118e-55,2.7006782605860815,0.243,0.05,1.4769336703451543e-50,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
CCL21,6.862611256066902e-55,1.3648568804000207,0.262,0.056,1.581351511735496e-50,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
RPLP1,7.709006719226585e-55,0.42113971538314576,0.996,0.996,1.7763864183113818e-50,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
GAS1,1.1885877982018362e-54,3.3177749047295073,0.16,0.015,2.7388628633964914e-50,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
FBLN5,3.5878639435470833e-54,1.5241701726901773,0.209,0.033,8.267514885115544e-50,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PROS1,1.5485485879761033e-53,1.9796817070078854,0.23,0.042,3.568320511273335e-49,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
SNHG25,2.044227376873408e-53,1.6299986827952715,0.269,0.061,4.710513144529394e-49,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PRRX1,5.825005033766027e-53,4.928250658186089,0.117,0.004,1.3422559099307056e-48,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
LGALS3BP,7.231073592138439e-53,1.1722610220007461,0.614,0.309,1.6662562878364605e-48,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
S100A16,1.6732479472216065e-52,2.009649307931658,0.284,0.072,3.855665244782748e-48,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PPP1CB,3.810208675597385e-52,-2.4462047512441214,0.341,0.556,8.779863851179055e-48,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
APOD,3.941784708480707e-52,1.748278778039887,0.135,0.009,9.083054503752094e-48,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
RBP1,4.317843749641934e-52,1.5178488787439424,0.608,0.315,9.949607352299909e-48,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
LAMA4,5.114781076536376e-52,1.8951101760001512,0.239,0.049,1.1785990034662773e-47,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
TYMP,5.935891810157494e-52,1.0048909772535448,0.405,0.139,1.3678075498145912e-47,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
CPXM1,6.3202666421389325e-52,7.728342565213115,0.102,0,1.4563790423480743e-47,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
FAP,9.490375907131655e-52,4.7852513038286,0.12,0.005,2.1868673202803474e-47,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
CYP1B1,1.1486004667558935e-51,3.8684588292206428,0.125,0.006,2.6467200555456056e-47,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
F2R,1.6019025114953323e-51,1.7863157322248917,0.193,0.029,3.6912639572386942e-47,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
RAMP2,3.7293632899918876e-51,2.058905692709322,0.19,0.029,8.593571829128307e-47,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
SVEP1,5.1542996368861595e-51,3.545339441814217,0.142,0.012,1.1877052653276776e-46,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PDLIM4,9.577164499546444e-51,2.9801863314017774,0.144,0.013,2.206866015630487e-46,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
TMED3,1.104694331286535e-50,1.41637265796343,0.267,0.063,2.545547147583563e-46,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
CALB2,1.323709142350831e-50,7.879195638919814,0.1,0,3.05022297671902e-46,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
MT-CYB,1.4965905875975403e-50,0.6812221295061374,0.996,0.932,3.4485936910010123e-46,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
GPRC5A,1.7213642024373992e-50,2.6168806084746694,0.147,0.013,3.966539531676499e-46,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
UPK3B,3.4571660065119144e-50,6.18392737442446,0.101,0.001,7.966347628805404e-46,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
FTL,5.482306147553426e-50,0.5083875325327245,0.995,0.947,1.2632878055807359e-45,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
EGFL7,7.343684630873964e-50,2.295177662728562,0.199,0.034,1.6922052494922874e-45,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
CTHRC1,1.7137356347626194e-49,3.3944242831539344,0.17,0.023,3.948961023183504e-45,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
TWIST2,2.0383577529682384e-49,3.674956975085374,0.124,0.007,4.696987770164712e-45,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
C2,2.3261677683004156e-49,2.440346988406616,0.197,0.034,5.360188388494648e-45,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
TMSB10,6.008236466027008e-49,0.6218538569959753,0.989,0.931,1.3844779288666034e-44,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
MTRNR2L8,7.59772965392381e-49,-0.7467656456352052,0.563,0.789,1.7507448441536638e-44,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
MYL12B,8.105305926474965e-49,0.6581467408537605,0.874,0.6,1.867705644637626e-44,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
CTSK,1.1234724582579639e-48,2.437566641425448,0.203,0.037,2.588817585563826e-44,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PODN,1.390028494074705e-48,1.85183973161973,0.161,0.019,3.2030426588963426e-44,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
ENG,1.876358662597736e-48,1.442032826836111,0.423,0.167,4.3236932662239634e-44,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
COL5A2,1.8998501434455117e-48,1.7674344345397182,0.235,0.051,4.3778246855414926e-44,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
FXYD5,2.852698066932394e-48,0.6102664941022187,0.473,0.183,6.573472155632315e-44,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
RCN3,4.0415021954212996e-48,2.304133486931358,0.255,0.065,9.3128335089093e-44,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
NPDC1,5.52973764051423e-48,1.2355311453007685,0.42,0.158,1.274217444503694e-43,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
VWF,6.85546002841652e-48,3.890864474853167,0.125,0.008,1.5797036543480186e-43,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
MXRA8,7.593755179474133e-48,1.5987350414107628,0.405,0.156,1.7498290060062243e-43,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
REXO2,1.0033702270813692e-47,1.0013127916078508,0.444,0.177,2.312066014263599e-43,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
APOA1,1.4462128234627004e-47,1.0177661087355219,0.416,0.163,3.3325082091051007e-43,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PPIC,2.593325392008047e-47,1.1714906334556165,0.447,0.177,5.975799700804143e-43,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
CLEC2B,5.806207126627423e-47,0.6164093284672774,0.367,0.118,1.3379243081887572e-42,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
CYBRD1,1.132401922877791e-46,1.3201778144506802,0.324,0.1,2.6093937508872938e-42,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
RPS4X,1.3150949649161173e-46,0.4381012826640367,0.997,0.957,3.030373327656209e-42,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
MT-ND3,2.3880255173806667e-46,0.642275582473582,0.996,0.946,5.50272719970027e-42,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
RPL37,2.6047429983116858e-46,0.5111829229573921,0.995,0.951,6.002109291009618e-42,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
FLRT2,3.3966814168946633e-46,2.4294594656514166,0.151,0.018,7.826972988950372e-42,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
RPL13,3.628715174394465e-46,0.4309266913989518,1,0.991,8.361648376357165e-42,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
MT-ND1,4.9601369151127726e-46,0.6250124159071788,0.994,0.891,1.1429643493494362e-41,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
SERF2,9.163883818549725e-46,0.46578484288225885,0.99,0.899,2.111633748308413e-41,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
WBP5,9.261258196828422e-46,0.9249318310064192,0.621,0.331,2.1340717262951732e-41,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
OGN,1.6126344910182342e-45,2.27980626210282,0.174,0.027,3.715993657653317e-41,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
