gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,compartment,contrast
MMRN1,1.976613597262308e-33,1.1160700534430275,0.277,0.171,4.5547107121715365e-29,endothelial,cirrhotic_vs_healthy_cell_level
SNRPD2,2.0109460925146114e-33,0.25624008458661507,0.78,0.66,4.633823080981419e-29,endothelial,cirrhotic_vs_healthy_cell_level
KIAA1033,2.1054154507816678e-33,-0.981172003041533,0.155,0.253,4.851508823236197e-29,endothelial,cirrhotic_vs_healthy_cell_level
TSN,2.5937905566094273e-33,-1.0313277232589377,0.189,0.288,5.976871579595104e-29,endothelial,cirrhotic_vs_healthy_cell_level
JUND,2.8278491321495225e-33,-0.9124983800169484,0.404,0.492,6.516212755212145e-29,endothelial,cirrhotic_vs_healthy_cell_level
SOCS2,2.979646564718772e-33,-1.0506784737625292,0.39,0.468,6.865999579081467e-29,endothelial,cirrhotic_vs_healthy_cell_level
RP11-108M9.4,3.9553519008254936e-33,0.8231629075038314,0.194,0.097,9.114317385072184e-29,endothelial,cirrhotic_vs_healthy_cell_level
BCAM,4.896038480633963e-33,0.10029311152595599,0.661,0.486,1.128194147092484e-28,endothelial,cirrhotic_vs_healthy_cell_level
THEM6,5.3395117579727295e-33,1.2342848691323065,0.161,0.074,1.230383694389656e-28,endothelial,cirrhotic_vs_healthy_cell_level
COL4A1,5.843778799444588e-33,0.6218114113052968,0.504,0.38,1.3465819487560165e-28,endothelial,cirrhotic_vs_healthy_cell_level
ATP5G2,6.693662236293702e-33,0.2315956250471647,0.891,0.794,1.5424205891091578e-28,endothelial,cirrhotic_vs_healthy_cell_level
UCK2,6.7038405915717e-33,1.595933500867547,0.104,0.034,1.5447659875158667e-28,endothelial,cirrhotic_vs_healthy_cell_level
TSPAN5,7.139487289084694e-33,0.853396662021257,0.124,0.046,1.645152056023786e-28,endothelial,cirrhotic_vs_healthy_cell_level
RPP25,8.350382066926112e-33,-1.3676797539740402,0.071,0.147,1.924178539681784e-28,endothelial,cirrhotic_vs_healthy_cell_level
RABGAP1L,8.378769720059702e-33,-1.2483041857834827,0.092,0.176,1.9307199065933573e-28,endothelial,cirrhotic_vs_healthy_cell_level
